time,angle,vel_pc,vel_pt,total_count
152164,0,-45,-137,-1
152498,315,-45,-146,-1
152895,270,-45,-121,-1
153244,225,-135,-139,-1
153574,180,-135,-148,-1
153935,135,-135,-134,-1
154273,90,-135,-143,-1
154665,45,-135,-122,-1
155025,0,-135,-133,-2
155363,315,-135,-144,-2
155762,270,-135,-120,-2
156112,225,-90,-138,-2
156446,180,-90,-146,-2
156813,135,-90,-132,-2
157155,90,-135,-142,-2
157551,45,-135,-121,-2
157913,0,-135,-132,-3
158254,315,-135,-143,-3
158657,270,-135,-119,-3
159011,225,-135,-137,-3
159350,180,-135,-143,-3
159720,135,-135,-131,-3
160068,90,-135,-138,-3
160463,45,-135,-121,-3
160827,0,-135,-131,-4
161171,315,-90,-142,-4
161575,270,-90,-118,-4
161933,225,-90,-136,-4
162272,180,-135,-143,-4
162642,135,-135,-130,-4
162992,90,-135,-138,-4
163388,45,-135,-121,-4
163756,0,-135,-130,-5
164101,315,-90,-141,-5
164508,270,-90,-117,-5
164865,225,-90,-136,-5
165206,180,-135,-143,-5
165579,135,-135,-129,-5
165929,90,-135,-138,-5
166331,45,-135,-119,-5
166696,0,-135,-131,-6
167043,315,-135,-140,-6
167448,270,-135,-118,-6
167803,225,-135,-136,-6
168144,180,-90,-143,-6
168517,135,-90,-129,-6
168860,90,-90,-141,-6
169261,45,-135,-119,-6
169628,0,-135,-130,-7
169972,315,-135,-141,-7
170377,270,-135,-119,-7
170734,225,-135,-135,-7
171076,180,-90,-142,-7
171450,135,-90,-129,-7
171794,90,-90,-140,-7
172191,45,-135,-120,-7
172561,0,-135,-130,-8
172905,315,-135,-141,-8
173309,270,-135,-118,-8
173667,225,-135,-136,-8
174011,180,-135,-141,-8
174382,135,-135,-130,-8
174727,90,-135,-140,-8
175124,45,-90,-120,-8
175494,0,-90,-130,-9
175839,315,-90,-141,-9
176243,270,-135,-118,-9
176603,225,-135,-135,-9
176947,180,-135,-142,-9
177318,135,-135,-129,-9
177665,90,-135,-140,-9
178066,45,-135,-119,-9
